縣市代碼,縣市名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,95.26,2.45,1935.27,39.43,16.3,23.13,141.9,111Y06M
63000,臺北市,90.76,2.37,9067.16,49.52,19.19,30.34,158.11,111Y06M
68000,桃園市,97.82,2.61,1854.35,39.15,19.76,19.39,98.11,111Y06M
66000,臺中市,96.19,2.74,1263.87,39.63,19.06,20.57,107.92,111Y06M
67000,臺南市,99.03,2.6,844.51,41.48,16.48,25,151.76,111Y06M
64000,高雄市,97.02,2.41,922.53,41.56,16.19,25.37,156.63,111Y06M
10002,宜蘭縣,101.27,2.57,209.39,42.46,16.36,26.1,159.49,111Y06M
10004,新竹縣,104.16,2.71,403.75,41.59,22.48,19.11,85.03,111Y06M
10005,苗栗縣,106.31,2.73,294.05,42.5,16.76,25.75,153.67,111Y06M
10007,彰化縣,102.97,3.12,1161.24,42.82,17.52,25.29,144.33,111Y06M
10008,南投縣,104.25,2.68,117.17,43.28,14.91,28.37,190.31,111Y06M
10009,雲林縣,106.81,2.72,515.92,44.21,15.45,28.77,186.23,111Y06M
10010,嘉義縣,107.63,2.65,257.41,43.01,12.4,30.61,246.86,111Y06M
10013,屏東縣,103.55,2.72,288.34,41.4,14.38,27.03,187.99,111Y06M
10014,臺東縣,105.01,2.53,60.54,41.93,15.81,26.11,165.1,111Y06M
10015,花蓮縣,102.02,2.5,68.96,43.18,16.41,26.77,163.15,111Y06M
10016,澎湖縣,105.63,2.52,836.86,38.88,13.89,24.99,179.98,111Y06M
10017,基隆市,99.38,2.31,2719.81,40.52,14.01,26.52,189.33,111Y06M
10018,新竹市,97.5,2.58,4325.04,43.62,23.73,19.89,83.82,111Y06M
10020,嘉義市,93.03,2.58,4378.87,43.27,18.44,24.83,134.69,111Y06M
9020,金門縣,98.59,3.28,924.11,32.17,11.24,20.93,186.21,111Y06M
9007,連江縣,137.92,3.85,479.97,31.71,13.68,18.03,131.75,111Y06M
