縣市代碼,縣市名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,94.57,2.4,1969.97,42.18,15.86,26.31,165.86,113Y06M
63000,臺北市,89.38,2.35,9222.85,53.29,18.79,34.5,183.66,113Y06M
68000,桃園市,97.15,2.54,1905.54,41.01,19.18,21.83,113.82,113Y06M
66000,臺中市,95.57,2.66,1287.77,41.53,18.63,22.9,122.91,113Y06M
67000,臺南市,98.44,2.54,848.54,43.87,16.28,27.59,169.48,113Y06M
64000,高雄市,96.1,2.36,926.49,44.08,15.97,28.11,175.97,113Y06M
10002,宜蘭縣,100.63,2.5,209.66,44.61,16.25,28.36,174.55,113Y06M
10004,新竹縣,103.63,2.64,414.57,42.03,21.78,20.25,92.94,113Y06M
10005,苗栗縣,105.78,2.65,293.12,44.08,16.45,27.64,168.04,113Y06M
10007,彰化縣,102.83,3.02,1146.87,44.65,17.05,27.6,161.89,113Y06M
10008,南投縣,103.65,2.62,115.62,45.98,14.91,31.07,208.41,113Y06M
10009,雲林縣,105.99,2.66,511.09,45.65,15.28,30.37,198.8,113Y06M
10010,嘉義縣,107.3,2.58,253.02,45.43,12.31,33.12,269.13,113Y06M
10013,屏東縣,102.56,2.65,285.35,44.13,14.52,29.61,203.95,113Y06M
10014,臺東縣,104.01,2.48,59.97,44.28,15.8,28.48,180.33,113Y06M
10015,花蓮縣,100.86,2.45,68.27,45.55,16.14,29.4,182.19,113Y06M
10016,澎湖縣,104.92,2.49,848.82,40.89,13.56,27.32,201.48,113Y06M
10017,基隆市,98.68,2.26,2723.73,43.59,13.77,29.82,216.57,113Y06M
10018,新竹市,97.46,2.53,4390.38,44.39,22.64,21.75,96.06,113Y06M
10020,嘉義市,92.3,2.54,4381.3,45.19,18,27.19,151.08,113Y06M
9020,金門縣,98.43,3.26,947.72,34.56,10.7,23.86,223.01,113Y06M
9007,連江縣,136.24,3.73,485.03,34.25,13.59,20.66,152.05,113Y06M
